berth_id;location_id;reference_location_id;public_name;short_name;station_number;operator;municipality;country;river;bank;relative_to_reference;river_km;river_km_text;facility_type;mooring_order;entry_count;entry_height;latitude;longitude;address;access_type;display_order;active;source_url;source_checked_at;notes
BER-000001;LOC-001;LOC-001;Schiffsanlegestelle Linz-Schloss;Linz-Schloss Nr. 11;11;;Linz;Österreich;Donau;right;upstream;2135.3436;2135,3+43,6 m;Rohrponton;max. Breite 13 m;3;0,80 m oder 1,50 m;48.306639;14.282528;Obere Donaulände, 4020 Linz;public;10;true;https://maps.oberoesterreich.at/;2026-07-28;Für die lokale Sichtungsauswahl relevant.
BER-000002;LOC-001;LOC-001;Schiffsanlegestelle Linz-Nibelungen;Linz-Nibelungen Nr. 12;12;;Linz;Österreich;Donau;right;upstream;2135.1955;2135,2-4,5 m;Gitterkahn;max. Breite 30 m;4;0,85 m, 1,50 m oder 2,10 m;48.307028;14.284278;Obere Donaulände, 4020 Linz;public;20;true;https://maps.oberoesterreich.at/;2026-07-28;Strom-km-Text exakt aus der Kartenbeschreibung übernommen, numerischer Wert technisch abgeleitet.
BER-000003;LOC-001;LOC-001;Schiffsanlegestelle Linz-Hauptplatz;Linz-Hauptplatz Nr. 13;13;;Linz;Österreich;Donau;right;downstream;2135.0450;2135,0+45 m;Rohrponton;max. Breite 29 m;4;1,60 m;48.307722;14.286250;Dr. Ernst Koref Promenade, 4020 Linz;public;30;true;https://maps.oberoesterreich.at/;2026-07-28;Für die lokale Sichtungsauswahl relevant.
BER-000004;LOC-001;LOC-001;Schiffsanlegestelle Linz-Lentos;Linz-Lentos Nr. 14;14;;Linz;Österreich;Donau;right;downstream;2134.9200;2134,9+20 m;Rohrponton;2, max. Breite 32 m;4;1,60 m;48.308417;14.287750;Ernst-Koref-Promenade, 4020 Linz;public;40;true;https://maps.oberoesterreich.at/;2026-07-28;Für die lokale Sichtungsauswahl relevant.
BER-000005;LOC-001;LOC-001;Donaustation Linz 1 (Brucknerhaus);Linz 1 – Brucknerhaus;1;Donau Schiffsstationen GmbH;Linz;Österreich;Donau;right;downstream;2134.5200;2134,6+10–2134,4+30;Tankkahn;25 m;;;;;Untere Donaulände beim Brucknerhaus, 4020 Linz;public;50;true;https://www.donaustationen.at/fileadmin/user_upload/Donaustationen_Liste_2025.pdf;2026-07-28;"Für die lokale Sichtungsauswahl relevant. 600 kVA Powerlock; Müll mobil; Abwasser mobil; Klärschlamm mobil; Fässertausch mobil; Zufahrt nur für Solo-LKW bis 70 m vor die Donaustation."
BER-000006;LOC-001;LOC-001;Donaustation Linz 32;Linz 32;32;Donau Schiffsstationen GmbH;Linz;Österreich;Donau;left;downstream;2134.2790;2134,200–36 bis 2134,400–6 m;Ponton;25;;;;;;public;60;true;https://www.donaustationen.at/fileadmin/user_upload/Donaustationen_Liste_2025.pdf;2026-07-28;"Für die lokale Sichtungsauswahl relevant. Wasser auch im Winter; 600 kVA Powerlock; Müll mobil; Abwasser permanent; Klärschlamm mobil; Fässertausch mobil; Zufahrt bis Rad- und Treppelweg, nur Solo-LKW (7,5 t) zum kurzen Aus- und Einladen."
