candidate_id;name;former_names;name_key;name_key_compact;name_key_without_prefix;eni;imo;year_built;length_m;width_m;passengers;operator;home_port;flag;flag_text;article_url;source_revision_id
CAN-68A729DEA86F;Concerto II;;concerto ii;concertoii;concerto ii;;;2020;72.0;14.2;128;Extension Group;;;Agypten;;268617530
CAN-0350EF598B85;Coral 2;;coral 2;coral2;coral 2;;8910158;1991;71.9;14.0;140;;;;Agypten;;268617530
CAN-7AE97D0DFAF7;Crown Emperor;;crown emperor;crownemperor;crown emperor;;;2003;100.0;14.8;234;Travcotels - Iberotel;;;Agypten;;268617530
CAN-6FFBF61DBE67;Crown Empress;;crown empress;crownempress;crown empress;;;2004;109.75;14.8;234;Travcotels - Iberotel;;;Agypten;;268617530
CAN-CFB55AD1077B;Crown Jewel;;crown jewel;crownjewel;crown jewel;;;2000;71.9;14.5;156;Travcotels;;;Agypten;;268617530
CAN-9D83A9BCB55F;Crown Prince;Jaz Crown Prince;crown prince;crownprince;crown prince;;;1997;71.9;14.5;156;Travcotels;;;Agypten;;268617530
CAN-7D762B71F180;Crucebelle;Viking Sky|Viking Burgundy|Maribelle|Bijou;crucebelle;crucebelle;crucebelle;04608430;;2000;111.24;11.4;153;Premicon AG;Valletta;MT;Malta;;268617530
CAN-49B58B3BA9DF;Crucestar;Viking Rhone|Viking Seine|Spirit of Caledonia|Regina Rheni;crucestar;crucestar;crucestar;02324591;;2000;110.0;11.4;160;;;;;;268617530
CAN-DF03DCAE20B8;Crucevita;Erasmus|Da Vinci;crucevita;crucevita;crucevita;07001839;;1995;104.5;11.4;110;Breeze River Cruise GmbH Basel;Basel;CH;Schweiz;;268617530
CAN-AD530D1CD7DA;Crystal Ravel;;crystal ravel;crystalravel;crystal ravel;04812710;;2018;134.91;11.45;130;Crystal Cruises;;;;https://de.wikipedia.org/wiki/Crystal_Ravel;268617530
CAN-EA772976EB77;Cyrano de Bergerac;;cyrano de bergerac;cyranodebergerac;cyrano de bergerac;01831891;;2013;110.0;11.4;176;CroisiEurope;Strasbourg;FR;Frankreich;;268617530
CAN-AC1464F9F818;Danubia;William F. Feenstra Sr.|Filia Rheni, Franz Liszt;danubia;danubia;danubia;46000113;;1980;98.98;11.07;154;Danubia Kreuzfahrten;Passau;DE;Niederlande → Deutschland → Rumänien → Deutschland;;268617530
CAN-D6C8687C9707;DCS Amethyst;Artistry;dcs amethyst;dcsamethyst;dcs amethyst;09948007;;2004;127.3;11.4;178;DCS Touristik;Valletta;MT;Malta;https://de.wikipedia.org/wiki/DCS_Amethyst;268617530
CAN-5B336050D47E;De Amsterdam;Clara Schumann|Lale Andersen;de amsterdam;deamsterdam;de amsterdam;05113920;;1991;94.8;11.0;112;Velociped GmbH Marburg;Oberwesel;DE;Deutschland;https://de.wikipedia.org/wiki/De_Amsterdam;268617530
CAN-674FD01E4955;De Zonnebloem;;de zonnebloem;dezonnebloem;de zonnebloem;02327391;;2005;115.0;11.5;135;De Zonnebloem;Breda;NL;Niederlande;https://de.wikipedia.org/wiki/De_Zonnebloem;268617530
CAN-C823777EBCB4;Deborah;;deborah;deborah;deborah;;;2016;40.0;5.7;24;CroisiEurope;;FR;Frankreich;;268617530
CAN-BC6870327D6C;Debusi;Debussy;debusi;debusi;debusi;07001738;;2000;110.0;11.4;120;;Aqtau;NL;Niederlande → Kasachstan;;268617530
